,verification,texts,Cluster_labels
244,Not Verified ," Nairobi to New York via London. British Airways has given me such grief, trying to cancel a ticket for my uncle who passed away, they canceled a ticket instead for my newly widowed aunt after they split her booking off the original booking. It is now less than two weeks until her scheduled flight, and I have been trying to amend her booking and hours and hours I have spent on hold, or with an agent, being told that my query has been prioritized and that I will receive a call back within 48 hours. I call every 2-3 days and nothing has been done to reinstate her ticket and no agent can ever resolve the situation. I will never book with BA again. Sure, flying with them is easy, but their total lack of practical assistance has caused distress and frustration and so many hours of wasted time. And to think I spent more money on a ticket with BA than other cheaper carriers thinking it would make my life easier. BIG MISTAKE",negative
245,Not Verified ," Today, my husband and a friend flew from Dublin to London City Airport. All apparently went well from check-in through the flight. After that, the ineptitude and lack of systems seemed to be in full bloom. We waited and waited for our bags to come off the baggage carriage, but neither my husband's nor mine came. I found a BA service person to ""help"" me. He told me that there were 60 bags checked and 59 on the plane. I thought, one of our bags made it. Then, two other customers from the same flight were complaining to someone else that they, too, had not gotten their bags. So, I assumed the 59 out of 60 was some kind of interesting fiction. I was then told to file a claim on BA.com which we did. At this time, about 10 hours after our flight landed, the system says they have no idea where our bags are! Now, I've had bags not get on flights before - less and less as airlines have tracked their bags fastidiously (I usually fly United Airlines which tracks your bag at every stage of the flight with updated info - e.g., ""Your bag was loaded onto the plane""; ""Your bag is on its way to baggage claim""). BA doesn't seem to have anything like this. In this case, again, it appears BA cannot even locate the bag. I hadn't flown BA in many years and with experience I would never book them again.",negative
246,Not Verified ," British Airways is poorly staffed at Venice airport. No one to check in 2 flights departing within 15 minutes of each other 1.5 hours before. Huge line snaking through airport. Flight crew fine. London to Baltimore segment on an older 787, usually they are much nicer. Limited TV and movie selections, wifi did not work. Flight crew ok, food adequate.",negative
247,Not Verified ," I booked a flight for myself and my wife from Heathrow to Nairobi in Premium Economy using Frequent Flyer points. I then paid $205 to reserve two seats on our own, in a 2-4-2 configuration cabin, as I didn't want to sit in a row of 4 people if possible. A few weeks before our flight BA emailed me to say they had changed my seat selection. When I logged in to see my new seat selection I had been moved into a row of 4? The email also stated that if I wasn't happy with the new seat selection they had made for me, I could get a full refund of the money I had paid. I called to cancel the reservation, which they did, and I paid $200 cancelation fee and they refunded my frequent flyer miles. When I asked them to refund the fee for my seat reservation, they told me all seat reservation fees are non refundable. I read them the email they had sent me when they changed my reserved seats, but the repeated that seat reservations are always non refundable.",negative
248, Trip Verified ," Departure was about 40 minutes late. The A350 we flew on was about eighteen months old. The seating spacing in economy class seems very tight and if the seat in front is fully tilted back, it is a real challenge to get out of the seat. The screen becomes so close to your face it becomes difficult to focus on the screen. Audio was so poor due to music drowning the conversation, I gave up trying to watch. The cabin crew seemed to really struggle with service, it felt very disorganised. Felt sorry for the cabin crew they seemed to be working hard and there seems to be a lot of up and down the aisles on this type of aircraft - felt unnatural. The overhead bins are very high and many passengers had difficulty accessing their belongings during the flight. I tried using the overhead attendant light to verify my wife's meal but no one responds - better to stop a flight attendant in the aisle. Nice aircraft for a two hour flight but no fun for close to eleven hours. I am going to explore other options before using BA again, the hassle to make contact with anybody before the flight puts you off before you even go to the airport.",negative
249,Not Verified ," Was going from Belfast to London but they cancelled the flight, and we didn’t even know it was cancelled. Someone behind us had to tell us. we had a connecting flight and spent a lot of money on our holiday. the refund takes ages. Overall not happy at all.",negative
250,Not Verified ," Second time getting poor service from BA. 1st, unable to contact via phone, email or website. 2nd even with four business class tickets across the Atlantic, they do not allow free seat selection or check in until 24 hours prior to the flight. Do they understand what the last 24 hours of an international trip are like? By the time we confirmed our seats my wife and our kids were spread throughout the plane. Of course no-one at the airport could do anything.",negative
251,Not Verified ," Booked a flight from London to Paris 2020. Trip was cancelled due to Covid lockdowns. We asked BA staff for refund, told cannot do but will issue vouchers. We stated no good for two elderly people from Australia as would not know when we can travel. Informed no other option and silly vouchers sent. Now they are running out of date and unusable! Have been asking for two years for refund! Many many emails. They keep saying we took vouchers! Had no choice. Does anyone have any other options re complaints! We would be most grateful. Really not fair to just take our money!",negative
252,Not Verified ," We left MIA late due to an issue with the provisioning of the plane. We arrived late and so missed our connection at LHR to CDG. At LHR British Airways rebooked us on not 1 but 3 flights to CDG and as such said I never took the flight to CDG and then cancelled my flight back to MIA since I did not take my flight. They did credit my AVIOS for the one flight but said I never took it. Thus I had to book on another airline to return at the last moment. Trying to call BA was a nightmare on hold for over 1 hour, a total of $127 extra on my calling plan only to not be helped as the person did not know what to do so he had us contact duty office who does not handle “flight only” problems feeding us back to the number we just called and we’re unable to be helped. BA cost me $5800 overall. We have flown them for years reaching silver and gold status but never again. They under new leadership have sunk to less than a budget low cost airline in customer service while charging premium rates - don’t be fooled.",negative
253,Not Verified ," The flight was delayed over 6 hours and this of course caused us to missed our connection flight and change to a different route, finally I lost my luggage and no one has any information. I will never again travel with British Airways.",negative
254,Not Verified ," Terrible experience with British Airways! I was obligated to check-in my carry-on suitcase due to my group number, according to the girl at the front desk. Then, they could miss my two suitcases, plus the luggage of my boyfriend, who traveled with me. After 3 days, they delivered 2 of our 3 bags, and since then the promise of deliver the last one persists. Now, already 10 days passed, and still no information of where the last suitcase is. Always the promise that the bag will be delivered today, but it never happens! No respect with the customer! First and last time with British Airways for sure! I don't recommend at all!!",negative
255, Trip Verified ," BA cancelled my flight, I never got on it, couldn't book another and refunded about a quarter of what I spent despite their covid guarantees. I was booked onto a flight with BA for April 29th 2022 from Hong Kong to London. They cancelled the flight so I looked at rebooking for a later date; COVID ticketing flexibility assurances? Couldn't find a flight up to and including October. So I opted for the refund thinking I'd get a full refund. I was refunded about 1/5 of what I paid. I called their service centre for an explanation as I couldn't fathom how they could cancel the flight, not have any other flights available and I didn't get a full refund. Each phone call takes about 45 minutes before you get to talk to customer service. And thats where the frustration begins. The customer service people were adamant that a full refund should be given and asked me to wait while they escalate the case. A month later and about 6 phone calls later, thats 6 hours waiting on the phone, they finally refunded me a little more - in total less than 1/4 of what I paid. It would seem to get a refund in increments I would have had to call their customer service for them to take me round in circles until I got frustrated and give up. So instead of calling I enquired about this via their website .. just for an answer as to why I wasn't getting a full refund. I didn't cancel my booking, neither was it my fault they decided to stop flight to HK. After another month of waiting ... this is the reason they gave in an email. ""Thanks for contacting us about your claim for EU compensation. We're sorry it was necessary to cancel your flight to Heathrow on 29 April 2022. Your claim's been refused because BA0032 was cancelled because of non payable commercial reason. Further to your request, I would advise to kindly get in touch with our customer support team to know the status of the refund, as the same is looked after by our support team. We take all reasonable measures to avoid disruption to a flight and we always consider if there are any other alternative solutions before we make a decision. The cancellation was out of our control and caused unforeseen disruption to our schedule. Thanks again for following this up with us. Please feel free to contact us if we can help you any further and I hope we have the chance to welcome you on board again soon. Best regards British Airways Customer Relations"". I don't know what ""non payable commercial reason"" is. I am out about 250 sterling, going to just leave it their and boycott this company.",negative
256, Trip Verified ," Belfast to London on 20 Jun, 0650. I was informed at about 0200 flight BA1427 has been delayed to 0915, will only reach London Heathrow at 1025. I reached the airport at 0445, but BA counter was only open at 0510. At checkin counter, I approached BA ground staff for advice as I have a connecting Singapore Airlines flight at 1125 on the same day. The reply was “it is the customer’s responsibility to contact the airline, there’s nothing we can do”. I was given a card with contact info on BA customer service and sales. For the next 2 hrs in the airport, I have been trying to contact BA, but was told that hotline only operates from 0800, I have to called another number for “urgent cases”, which ever number I dial, I just couldn’t get to speak to any one till 0757. Again, I was told that there’s nothing they could do because my connecting flight is Singapore Airlines. Onboard the aircraft, when I approached for help with my luggage to be placed to the compartment, I was told that it’s the customer’s responsibility to do it on their own. I would think twice to take BA in the future.",negative
257,Not Verified ," The customer service of British Airways is really bad. You can't reach any call centre agent even after waiting for 30 mins. Now, I really appreciate Emirates and Turkish Airlines after facing BA's low quality customer service. Not only the customer service but the food they offer during a long haul (LDN-JNB) is really low quality. Other airline operators which are working with Do&Co for flight catering are way better than BA. I guess BA has selected the lowest budget option from Do&Co. Overall my rating is 2/5 for BA - you can feel how stingy BA is when you fly with them. Note: Respect to their cabin crew",negative
258, Trip Verified ," BA is still charging premium airlines fares however delivering nothing better than what a low cost offers. Seat does not recline, legroom is minimal causing anyone taller than 1.60m a torture to fly as being in a sardine can. Good old times of being a glamour flying BA has far gone. Ground force almost reduced to 0, only a very cheap pack of crispy and water. The only positive side is the cabin crew always there for you and happy, or well pretending at least. For the price they charge I advise every passenger to fly any other low cost airline as an alternative. You pay extra for absolutely nothing.",negative
259, Trip Verified ," This a new route which BA introduced at the beginning of June after several years of Covid related delays. The business class experience was I fear typical of the nickel & dime policies introduced by the airline over the past decade. Plus - helpful and friendly FA. Minuses - The cabin was fairly cramped with six seats across. Each pod had surprisingly little room with only very limited storage space. It was hard to adjust the seat, particularly getting it to lie flat - even the FA found it difficult. The in-flight entertainment was very limited with a poor choice of films, TV programmes and music. The food choice and quality was poor - one of the three mains was unavailable and my pea and mushroom risotto was almost inedible: the cheese selection was also poor. I don't know what the business class offerings from BA's rivals flying similar routes are like, but the experience does not match up to that provided by Singapore Airlines on their flights to the Far East and Australasia.",negative
260, Trip Verified ," As a regular BA customer on European flights, it is sad but true to note that standards continue to slip, particularly ground service at LHR and the atrocious handling of delays. Staff at the entrance to the First Wing was brusque to put it mildly, rude to be accurate. Flight boarded at 1835 for a 1900 departure. 45 mins later, 4 late customers were allowed to board, and not a single PA or apology from the flight deck or crew. The benefit of low cost airlines is they they don't hang around for latecomers, sadly BA is in a time warp over this. BA pilots used to be some of the best for updating status, but this has dropped dramatically in the last 2-3 years. The food standards and choices in the T5 First Lounge are one of the items that have been improved post Covid. Inflight service on this short 2h 40m flight was a light dinner tray, only 2 choices by row 3 - with 32 passengers in Club Europe only 4 salad options were available. No printed menu offered and the cabin staff explained he had only been given 10 menus for 32 customers. It appears there is no supply control in place at BA. Food quality was okay, but while Do&Co supply this, the Do&Co meals on Turkish Airlines remain superior to what BA manages (I flew Turkish 10 days ago). Staff service was perfunctory, but no attempt to interact with any customers in Club Europe cabin. I end where I started, BA standards continue to slip. ",negative
261,Not Verified ," Right now do not use British Airways. When booking, person said we would have enough time between the connection flight to final destination, but he was wrong. Flight to London was late, we auto missed our flight to Edinburgh, and had to wait 9 hours for the next flight. Coming back once again flight leaving was late, had to run to get connecting flight, then we sat on tarmac for an hour because luggage had to go on so I thought good, that is probably my luggage. Once back in Boston luggage did not show up. They said we would get it within 24 hours and we didn't, so far it will be at least 2 days.",negative
262,Not Verified ," I could very much understand losing my luggage for 8 days with how airports are doing. This was a risk I was well aware about when travelling to Greece for my wedding. However, in my many attempts to receive communication from this company, it has been nothing but disappointment and upset. The company at one point was picking up and immediately hanging up on my husband. The most recent time I have called them, is because I requested an agent from the luggage team give me a timeline of my bag’s location, the man on the phone verbatim stated: “and if I don’t?”. After this he proceeded to tell me my bag was in Edmonton with WestJet, and that this was “not his problem”, before saying “hold” and not taking me off hold. I did not book with WestJet/nor is this Westjet’s luggage issue (they have been amazing when I have called them and have given me the most info out of everyone). I will never use this company again nor will anyone that I am close to. This has been completely disheartening. Please please do not use this company if you would like your travel to have any chance of going smoothly or any chance of receiving adequate or even any information or communication. I have never in my life been treated like this as a customer before.",negative
263, Trip Verified ," The A80 is a wonderful aircraft - quieter than any other aircraft I've flown. Flight was delayed arriving at Vancouver from London, which meant that departing flight from Vancouver was also delayed. Passengers waited almost 90 minutes at London Terminal 5 for baggage to arrive - excuse given by BA ground staff was that the baggage staff are ""very busy right now"" and our baggage will arrive ""soon."" Onboard amenities and services quite disappointing. Seat was reasonably spacious but did not offer sufficient back support. Meal sizes and portions considerably smaller than when I last flown with BA - a tiny ham and cheese croissant for breakfast. Cabin crew noticeably absent from cabin during flight - no offer of water, juice, or other beverages during the flight. Overall, a fairly disappointing experience with BA.",negative
264, Trip Verified ," LHR to SFO in new Club Suite. Rather chaotic embarkation despite small number of passengers. Pushback delayed by lack of tug. Club Suite seats (2K/3K) a huge improvement over previous CW product, with excellent IFE and a good range of movies. Cabin crew attentive and efficient. Food adequate and still served on the same tray. Arrival more or less on time, but delayed by lack of marshal to guide plane to the air bridge. Long queue to get through immigration.",negative
265, Trip Verified , Covid form is broken - Called customer service twice on different times and they hung up due to being too busy to pick up the phone. 1 hour flight delay - was first in the queue and had to hand in my hand luggage due to there being not enough room which was untrue as most storage compartments where empty when I entered the plane. I explained that I really cannot afford to wait on my luggage as I have 3 hours drive left after I arrive at the airport. In short: totally not customer friendly. Will try to avoid flying next time with BA.,negative
266,Not Verified ," Feels like BA are putting the 'economy' back in 'premium economy'. Very pleasant, friendly and helpful cabin crew. However it was over two hours before food was served on this already-delayed 7.40pm flight. A single drink was offered in plastic cups before meal service, and with the food you were offered wine only, but the crew 'could come back later' if you wanted something else - including water! I drank wine anyway but I wouldn't leap at this offer given how long it took them to do food. I've never experienced this on other airlines' premium economy products (I flew WestJet this year and they took your drink orders just after you boarded, then brought them to you before, and then with, your meal in glassware - brilliant! Air New Zealand do glass and use your name throughout). Water eventually came round after we'd eaten. As I say, the crew was pleasant and friendly but seemed under-equipped, under-staffed or following poor procedures. Food was forgettable. In-flight entertainment was great and the screens large - unfortunately after every seatbelt light announcement the screens' brightness levels reset to their retina-searing default. Not fun on a night flight with turbulence. Loos on this Gatwick 777 were halfway down economy (which was pandemonium) or at the very back. The upside to this layout is that PE is next to the exit, so we deplaned very quickly. Check-in queue at Cancun took forever. Couldn't see or hear gate announcements so everyone crowded the gate. Grateful for priority boarding in this situation. Bags arrived OK at Gatwick, no delay. I continue to avoid BA unless using Avios for business class or where there is no alternative. BA's problems all seem so easy to fix - their cabin crew are clearly eager to help you, why aren't they equipped and given service procedures to match other airlines at this price point?",negative
267,Not Verified ," Phoenix to London Heathrow and then to Hamburg. Despite a 4 hour layover in Heathrow, bags didn't make it onto the connecting flight. Once in Hamburg, there was no one at the baggage tracing desk and the number provided was a dead-end; no ability to leave a message or connect to an employee. A group of passengers all missing checked baggage waited in the airport and tried every outlet possible (check-in desk, other baggage tracing desks, calling, emails) for two hours to no avail. The solution for us was to fill out a sheet of paper with contact info and baggage description. Four days later, no information where my luggage is and no way to contact customer service. Absolutely miserable customer support. Our flights were alright but after such bad customer service we will never fly BA again.",negative
268, Trip Verified ," Worst airline experience ever. Flew 7 people business class. Check in was a disaster. The claimed I had “exchanged” tickets. After 1.5 hours at the ticket counter we were given boarding passes. We were group 1 but the delay caused us to board much later. The connecting flight was cancelled leading to a day long layover with 4 children including an infant. The ultimate connecting flight was also 2 hours late. Then they lost our luggage, 4 days later they still don't have our luggage. Calling the helpline for lost luggage results in a 30 minute to 1 hour hold after which you are disconnected without speaking to anyone. This airline is a complete disaster, please do not fly them.",negative
269, Trip Verified , The crew BA656 on 6 June absolutely made this flight. Smooth journey with possibly the nicest crew I've ever had. Rebooking for September we were that impressed.,negative
270, Trip Verified ," I travelled on the 11th April with my baby in economy class, flight BA 2260 and BA 2508. I had the pleasure of meeting Sarah air stewardess. She was absolutely amazing. I received great service from her along with other staff but more importantly she went above and beyond. It was hard enough travelling with an infant but her assistance throughout the flight was really appreciated. She repeatedly asked if I needed anything as I had Arham in my lap most of the time. She held him whilst I had a cup of tea at the front of the aircraft. We had a chat and the service was just amazing. It is something I will never forget. Thank you for being there and for all your support throughout the flight. I have worked in aviation but the job you do is remarkable and under appreciated. Hope you see this.",negative
271, Trip Verified ," Outstanding inflight service from the crew. Friendly, professional and helpful. The very best of British. Even though the departure was delayed due to chaos among ground staff at Vancouver, it didn’t matter. The crew made the flight outstanding.",negative
272, Trip Verified ," Recent trip to Boston, departing LHR T5. Ground staff were absolutely fantastic and made an extra effort to make sure we were prepared for all the COVID entry requirements in the US, they were really friendly and personable. Very short queues for bag drop and security, I would say it took us 20 minutes from kerbside to lounge which is fantastic considering what is going on in the UK at the moment. Boarding was very quick and efficient and was completed within 30 minutes. Seated on the last row of economy I really appreciated the low density 3-3-3 layout in economy compared to the 10 abreast seating. Myself and my colleague strategically booked the aisle seat either side of the centre and were lucky enough to have no one sat between us which really helped. Considering most of the foot space in these older seats is taken up by the IFE box it really helped and would have been significantly less comfortable had we been sat next to each other. The cabin crew were excellent, well trained and personable they were very visible throughout the flight and pro-actively offered drinks outside of meal service. Meal service was very efficient with cabin crew pro-actively removing trays from people who had finished early, something that you very rarely see in economy. The food by DO&CO was exceptional, I don't think i've eaten so much on a trans-Atlantic flight in economy. It will be interesting to compare it on the return flight when its catered by an out-station. Overall it was a great flight, helped by the additional space we had but nonetheless a good performance by BA which totally exceeded my expectations based on the reviews here and elsewhere. I would definitely consider flying with them again.",negative
273,Not Verified ," My son travelled alone for the first time to pursue his studies and we were very concerned about any issues he might have especially reading the reviews about the airlines.. But his flight was experience was good with no delays and reached Toronto in time. We are thankful to British Airways to provide a hassle free flight to my son, especially after the troubles the airlines have gone through due to pandemic. Unfortunately, people with good experiences do not post their reviews skewing the reviews negatively. The flight was very expensive though as we booked late, after being dumped by Air Canada / Swiss air, after they cancelled their flight at the last moment.",negative
274, Trip Verified ," As a seasoned traveller and a loyal BA customer I am appalled at the company’s recent drop in standards. We were booked to fly from ZHR-LHR on a miles ticket in February 2022. When we arrived at check in several hours before our scheduled departure we were informed that we would have to pay for our baggage even though our ticket clearly included free checked baggage. We were held at check in for over an hour whilst the check in agent went to consult with her manager who then confirmed that we would have to pay to check in our baggage. We have no option but to pay this charge however as a result of this delay at check in arrived at the gate to find that our flight had closed. As this was the last flight of the day we were forced to find expensive overnight hotel accommodation. I tried contact BA Customer Services after this incident on numerous occasion however they didn’t bothered to respond. At the 3rd attempt, after I cc the CEO on my complaint I got a one line response saying that there was no free baggage included with our ticket. At this point I got my solicitor to write a letter and they finally agreed to refund my baggage charge. However they are refusing to compensate me for the missed flight and the considerable expenses and loss that I incurred as a result of their mistake.",negative
275,Not Verified ," Boarding on time, but unfortunately from ORT’s worst boarding gate, which obviously was beyond BA’s control. Crew were good but lacked the personal touch. Old style ying yang business class with total lack of storage space, and the 777 was showing it’s age. However we were told the aircraft was being taken out of service the following week to be upgraded to the new club suites. The cabin crew were good, food ok, wines a little disappointing. Overall a decent flight.",negative
276, Trip Verified ," Flight delays can happen, but the way BA handles such incidents in just way beyond. Our flight was delayed overnight, our connecting flight was missed, the overall delay resulted in more than 48 hours. Rechecking our bags took 4 hours standing in line. A rebooking to an earlier connection was denied, be it online or at the counter. Will certainly never fly BA again and do not recommend this airline.",negative
277, Trip Verified ," Check in easy at BGI due to us checking flightradar24 and finding the flight was delayed by nearly 2 hours, no notification from the airlines so other passengers arrived earlier. Easy boarding in sequence numbers. Seat is a joke for 8 hour flight, no leg room on isle seat of 4, the seat in front frame blocks you stretching your legs and once the passenger in front reclines its even worse. Food is mediocre with poor choice and all of the drink choices had run out before the stewardess had arrived to my seat (only choice Coca-Cola, water or red wine. The connecting flight from LHR - MAN was cancelled with no contact from the airline, I only found out trying to book a seat on the return legs, with no alternative flight provided. We had to privately book a taxi from LHR to Manchester for 4 persons as this worked out cheaper than the train. The outbound flight was also a farce, no mention of Terminal change at LHR from 5 to 3, so quick turnaround changing terminals was chaotic and stressful for older relatives travelling with us. Overall shocking from British Airways and can guarantee I will never use them again.",negative
278,Not Verified ," British Airways - Travel with Confidence. Probably the most unsuitable tag line, they should be ashamed. Back in October I booked a holiday to Punta Cana with BA only to have it cancelled early in 2022. Late last year I also booked Heathrow to Malaga for a family wedding in May. Guess what, a few weeks ago that also got cancelled. I had the chance to rebook with BA but with so many cancellations planned I was not willing to take the risk of not making my destination for such an important event, so applied for and received a refund. I have now also asked for my Executive Club account to be closed as I shall no longer be wasting my time booking with such a shambles of an airline. My suggestion is if you want to 'travel with confidence' choose another airline. Any airline.",negative
279,Not Verified , Business class seating shown as a 2x2 configuration on the website is economy style with an unsold middle seat - not much more comfortable than economy. Meal service started with three options but was down to 2 options by row 5 (out of 8 in business class) and by row 6 where we were seated only one of us had 2 options then only grilled tofu was available for the rest of business class.,negative
280, Trip Verified , We arrived 3 and half hours before our flight the queues to BA was terrible. The airport security lines were not managed well. The gate was closing as we arrived after jogging to the gate (with asthma). It was by far the worst travelling experience i have ever had that i have experienced. All the airlines should put out a warning that you should arrive at least 4 hours before to have an enjoyable experience. Amsterdam is the worst airport I have experienced.,negative
281, Trip Verified ," BA says that tickets are flexible and cancellation is free within 24 hrs. That reality is an absolutely miserable alternative. 8 hours after booking, I need to change my flight. I assume I will get a refund like their site says I will - that was apparently a lie. They actually give me a voucher. To request the voucher I have to sign away that I agree to the voucher despite not knowing how much money they will refund me and I might not get it for a week. I am panicked so I try calling them. Of course, calling them does nothing. The hotline says that they are too busy. This happens again and again. So, I give up, submit the request online despite no guarantee of amount or timing. Luckily it shows up quickly, and I rebook. Then I need to change my booking again. I go to request a voucher again. This time the voucher code doesn't work on the website when I enter it. So here I am needing to rebook with a useless voucher. Finally I call the executive class phone line (which I am not a member of) and then eventually pick up and agree to help me. They do some thing on their back end and tell me that they will send the information to their booking department who will contact me in 72 hours.",negative
282,Not Verified ," I have been battling a long overdue refund with BA regarding a flight originally booked in 2019... The flight was cancelled, a voucher was issued, another flight was booked using this voucher, and then again cancelled. After trying to use the voucher for a new flight, BA kept advising I couldn't as the voucher had been used. I asked them to check the status of that flight (as it never left) and the agent advised she didn't have access to that information. Two years in, I managed to speak to someone who recognised that either a voucher or refund was due and made a note on my record. I then decided to pursue a refund, as felt this would be less problematic. BA have acknowledged they owe me a refund. One phone call they said it will be with me in 18 working days. I then chased when it was long overdue. I was then told it will be with me in 21 working days. The refund never came. I try regularly to get through to Customer Service for the automated system to advise no agents are available. I have also sent two follow up messages via the case reference link they sent me, requesting an update, but with no response. Honestly feel very let down by BA who up until this, I felt were the more trustworthy and reliable airline. I suspect they will have ruined many trusted relationships with customers by now.",negative
283, Trip Verified ," When I tried to check in, they required a certificate of insurance for Covid travel, but I did not have it, I tried for over 2 hours to get it issued, but my bank (where I had the travel insurance) the department that could issue the certificate was closed, it was 18:30. After a very long time, I got a cover letter which the bank sent to me, but then to be told I had missed the check in by 2 minutes. They would not let me board, and I missed the flight. So I contacted BA, and tried to rebook another departure flight, only to be told that because I missed my departing flight, my return flight had automatically been cancelled and this was BA policy. So then they worked out a new price to book the flights, but now the price was £3500. I originally paid £1500 for the flights. I then did a search on Google and found flights for £1100, flying out with Air Mauritius and returning with BA on the same flight I was originally supposed to return on. Unfortunately BA had made me miss 2 days of my holiday, I searched for over an hour but could not find anywhere on BA site that I needed the Insurance document. When I checked in for the Mauritius airways flight, they did not ask for the insurance document, and I had a lovely flight with no issues. Every time I fly with BA, I have a bad experience and I promise I will never fly with them again.",negative
284, Trip Verified , Another dreadful mediocre experience with BA to Malaga. This time boarding was by bus and to a remote stand with no Aircon. Then on flight the the Wi-Fi was erratic and guests couldn’t order food or drinks. Then the card payment system didn’t work so we gave up on ordering. Finally at Malaga we were held up and not allowed to leave the plane as the bags had to come off first in case 'we' caused the plane to go unbalanced? Really? It’s all one excuse after another with BA these days.,negative
285,Not Verified ," Basel to Johannesburg via London. Cancelled connection flight: confusing UI, still shows cancelled booking in my bookings, never sent a confirmation email for new flights. Cant check-in. Could check-in online or via the app. Customer service is non-existent. Busy line, after 45min still no one there to help me check in.",negative
286, Trip Verified ," Very low standards for Club Europe: there was no cabin divider in the aircraft, so no privacy or separate cabin as would be expected, aircraft not properly cleaned in Athens (there was full rubbish bag left in the seat pocket). No in-flight information as the in flight maps have long disappeared from European routes which is a shame. Staff was attentive though and tried their best.",negative
287, Trip Verified ," This flight was not affected by recent problems with BA and I was quite impressed by the British Airways Premium Economy product in a new Boeing 787. Overall, Premium Economy turned out to be premium and clearly a step up from Economy towards Business Class. Also, the Premium Economy product came across much better in the Boeing 787 than in the old B747 or even than in the B777. Seat was very comfortable and had nice leg room. Food, service and entertainment options were good. Clearly worth the extra money for Premium Economy.",negative
288,Not Verified ," British Airways continues to decline in customer service. I used to love this airline and now I have had three poor experiences back to back regarding their customer service on the phone with flight changes and vouchers. The most recent experience has cost me $3000 more than originally booked due to bad rep advice and multiple calls to the company. Even as part of the Executive Club (Silver) I continue to be left on hold for ages and in the last week have spent over 6 hours on the phone seeking support. At this rate, they have lost my trust.",negative
289,Not Verified ," On my flight from LAX to LHR I paid to pick my seat for my flight back to LAX. I saw the $116 come out of my account the next day. As I’m adding in my booking the day before my flight, the website tells me I no longer have a booked seat and the seat I paid for has been sold to someone else. I spent an hour trying to find a way to contact their customer service and at first was told to DM the airline on Twitter which I find extremely inappropriate but I still reached out anyway because I was unable to find another way to contact them. On Twitter, I was told they were looking for an agent to help me and they never ended up responding. They just left my message unread. After about 6 hours of waiting for a Twitter DM back I ended up being able to find a chat line on their website. While talking to the agent on the chat line she informed me that they sold my seat to another customer and that she would book me a new seat, however she was unable to tell me where the seat was or how many people were in my row. After a frustrating conversation she was able to book me my original seat. Soon after I tried to pull up my booking in the British Airways app and was unable to find it. I would enter the booking reference and the site would say it was a success and the booking would show up once I refreshed the page but it did not. I continued to try and add the booking and the app would do the same thing every time, say it was a success then never add the booking. I’m not able to find the chat line again and I will not DM a company on Twitter with my support issues again. I’m extremely frustrated.",negative
290, Trip Verified ," Amazing flight and comfortable. The premium economy seats have been upgraded with a leg rest. New aircraft. Staff very friendly and professional. The food was great, beyond expectation.",negative
291, Trip Verified ," I booked a flight to London and paid, months in advance, to upgrade my seat to an isle side exit row (front of the cabin + more legroom). Upon check-in, my expensive upgrade had been given away to someone else, and I was left to choose a miserable middle seat near the toilet. I spent an entire afternoon calling customer service. If my call went through at all (the automated system simply hangs up when it decides they are too busy) I was placed on indefinite hold, replete with elevator music and an insincere guarantee that my call mattered. I was greeted by someone with a heavy accent, over a very low quality, hard to hear line (I am 32 and not deaf). Sometimes, they would purposely hang up before I said anything. Other times, they would purposely hang up after I stated my plight. IF I managed to persist through all of that, for hours on end, they would hang up purposely after ""needing"" to put me on hold once more to ""speak with their supervisor."" In the end, BA managed to swindle me for hundreds of dollars, and I booked with another airline on principle.",negative
292,Not Verified ," We are on our way home after a 3 week holiday in the UK and have had all 4 flights with British Airways. Our 2 internal flights between London and Edinburgh were great due to the friendly staff and there were no complications, however, the 2 long haul flights have been a nightmare. Our initial flight from Cape Town to Heathrow was a full flight, the staff seemed very overwhelmed, they ran out of certain food and drinks and as we were in economy right at the back we got the ""leftovers"", my entertainment system was also not working. We are about to board the return flight from Heathrow to Cape Town and the check in process was horrific. I had booked through Expedia and somehow my return flight did not have a checked in bag allowance which I didn't realise until we checked in. I ended up having to pay an additional £85 for my bag, after being told to try do it under manage my booking on the app which was not possible and I also spent 20 minutes on hold trying to get through to the BA customer service number with no luck. We asked to speak to someone is person in terminal 5 and were told that they have no customer service desk in the main BA terminal. Overall it took us about 2 hours to get me checked in after speaking to about 6 different staff members, none of which could help me. There was also a discrepancy with the baggage allowance as my friend I am traveling with was allowed 26kg and after paying to add my bag I was told it was overweight as I was only allowed 23kg and the bag was 24kg. Compared to having flown with other airlines I will never fly with BA again, the level of service is shocking compared to what you would expect.",negative
293, Trip Verified , I would like to thank you for the great service. I am a handicap and my family and I were afraid of this trip because I was flying alone and had a layover in London of a few hours. I had to change terminals and everything but thanks to a great service my trip was amazing. They took great care of me and made sure I was doing well throughout the whole flight.,negative
294, Trip Verified ," I connected into Madrid on Iberia and wrote a scathing review of their awful long haul business class service. British Airways short haul business class was in a totally different class. The cabin had 10 rows of seats in BC, a record for me. The staff met us at the door in a very cheerful way and this was a sign of the highly professional way they would continue to look after us throughout the flight. The messaging from cabin crew and flight crew was excellent. The food was first class, nothing was too much for the staff. Why, oh why can two members of the same company offer such different levels of sift and hard service? My thought is that it must be ingrained in the ethics of the company. British Airways keep up the good work, (it would be better if you had proper business class seats like some of your European competitors) overall you made me feel proud to be a Brit.",negative
